idx,short,T_mean_3mm,T_ripple_3mm,T_mean_conv,T_ripple_conv,on_conv_front,status
133,SixLambdas,4.3515,3.8430,4.2645,3.9247,0,ok
134,ThreeBrokenLines,4.4690,4.6338,4.4157,4.7479,0,ok
135,ThreeBrokenLines,4.4416,18.2401,4.3125,17.6387,0,ok
136,ThreeBrokenLines,4.3815,3.8127,4.3061,5.0121,0,ok
137,ThreeBrokenLines,4.3341,4.5117,4.2990,4.9155,0,ok
138,ThreeBrokenLines,4.4813,3.5055,4.4501,4.2098,1,ok
139,ThreeBrokenLines,4.4583,3.8901,4.4386,4.2361,0,ok
140,ThreeBrokenLines,4.4371,4.4468,4.4301,4.5939,0,ok
141,ThreeBrokenLines,4.3769,4.5751,4.3754,5.1569,0,ok
142,ThreeBrokenLines,4.4519,10.3145,4.3705,9.9865,0,ok
143,ThreeBrokenLines,4.4261,13.1080,4.3897,13.0615,0,ok
144,ThreeBrokenLines,4.4426,14.7917,4.4051,14.1349,0,ok
145,ThreeBrokenLines,4.4301,8.7830,4.4076,7.9196,0,ok
146,ThreeBrokenLines,4.4354,4.4542,4.4219,4.8298,0,ok
147,ThreeBrokenLines,4.4472,6.5943,4.4092,6.5199,0,ok
148,ThreeBrokenLines,4.5110,6.1638,4.4244,5.9019,0,ok
149,ThreeBrokenLines,4.4124,6.7376,4.3890,6.4720,0,ok
150,ThreeBrokenLines,4.4988,4.0513,4.4315,4.3634,0,ok
151,ThreeBrokenLines,4.4133,4.4814,4.3799,4.2805,0,ok
152,ThreeBrokenLines,4.3024,3.6294,4.2375,3.3830,0,ok
153,ThreeBrokenLines,4.4342,3.2932,4.4109,4.3158,0,ok
154,ThreeBrokenLines,4.4278,7.1874,4.4279,6.4092,0,ok
155,ThreeBrokenLines,4.4290,13.7018,4.4229,12.6887,0,ok
156,ThreeBrokenLines,4.4664,17.2059,4.4375,16.6423,0,ok
157,ThreeBrokenLines,4.4674,6.7273,4.4370,6.1177,0,ok
158,ThreeBrokenLines,4.4052,4.3734,4.4254,5.4046,0,ok
159,ThreeBrokenLines,4.4409,9.8370,4.4232,9.6799,0,ok
160,ThreeBrokenLines,4.4697,8.9363,4.3645,8.4015,0,ok
161,ThreeBrokenLines,4.4506,3.6667,4.4012,5.1267,0,ok
162,ThreeBrokenLines,4.5125,10.6001,4.4336,10.6483,0,ok
163,ThreeBrokenLines,4.4076,7.4168,4.3276,7.5248,0,ok
164,ThreeBrokenLines,4.4143,13.9566,4.4229,13.5455,0,ok
165,ThreeBrokenLines,4.4499,15.9893,4.3521,14.7426,0,ok
166,ThreeBrokenLines,4.4303,4.6846,4.4235,4.7615,0,ok
167,ThreeBrokenLines,4.4335,6.9062,4.3822,7.1835,0,ok
168,ThreeBrokenLines,4.4727,4.4551,4.4439,4.2796,0,ok
169,ThreeBrokenLines,4.5108,5.9509,4.4572,5.7816,1,ok
170,ThreeBrokenLines,4.5051,9.9471,4.4376,9.7974,0,ok
171,ThreeBrokenLines,4.5083,9.1560,4.4425,9.3536,0,ok
172,ThreeBrokenLines,4.4286,4.5796,4.4264,5.0818,0,ok
173,ThreeBrokenLines,4.4767,17.7830,4.3912,17.1488,0,ok
174,ThreeBrokenLines,4.4808,10.8080,4.4616,10.3575,1,ok
175,ThreeBrokenLines,4.4105,6.2606,4.3934,5.9194,0,ok
176,ThreeBrokenLines,4.3730,4.5735,4.2762,4.9778,0,ok
177,ThreeBrokenLines,4.4480,7.5955,4.3503,7.6051,0,ok
178,ThreeBrokenLines,4.4608,5.9181,4.4270,5.6003,0,ok
179,ThreeBrokenLines,4.3782,4.9876,4.3382,5.9695,0,ok
180,ThreeBrokenLines,4.4002,6.0652,4.4137,5.3795,0,ok
181,ThreeBrokenLines,4.4615,6.8725,4.4255,6.2520,0,ok
182,ThreeBrokenLines,4.4532,6.5355,4.3924,6.3423,0,ok
183,ThreeBrokenLines,4.4202,7.1484,4.3334,6.8757,0,ok
184,ThreeBrokenLines,4.4453,11.4975,4.3521,10.4705,0,ok
185,ThreeBrokenLines,4.4589,4.0960,4.4194,4.8223,0,ok
186,ThreeBrokenLines,4.4348,3.8323,4.4296,4.1647,0,ok
187,ThreeBrokenLines,4.3745,4.5910,4.3850,6.2346,0,ok
188,ThreeBrokenLines,4.4462,8.5044,4.4025,7.7272,0,ok
189,ThreeBrokenLines,4.4319,10.4249,4.4157,9.5761,0,ok
190,ThreeBrokenLines,4.4139,7.1507,4.3994,6.7323,0,ok
191,ThreeBrokenLines,4.3192,3.4463,4.2782,5.3840,0,ok
192,ThreeBrokenLines,4.4037,3.3674,4.3750,4.5658,0,ok
193,ThreeBrokenLines,4.4193,7.7707,4.4324,7.4584,0,ok
194,ThreeBrokenLines,4.4433,6.8776,4.3992,6.7749,0,ok
195,ThreeBrokenLines,4.4149,6.8716,4.4122,7.0808,0,ok
196,ThreeBrokenLines,4.4493,3.7520,4.4131,4.6396,0,ok
197,ThreeBrokenLines,4.4229,9.4707,4.3660,8.5820,0,ok
198,ThreeBrokenLines,4.4820,12.4720,4.4219,12.1996,0,ok
199,ThreeBrokenLines,4.4485,15.7809,4.4016,15.3642,0,ok
